month,2020,,month,2015,,month,2010,,month,2005,,month,2000
jan,17.114,,jan,17.607,,jan,19.286,,jan,18.191,,jan,17.136
feb,20.884,,feb,21.628,,feb,22.038,,feb,20.55,,feb,22.833
march,26.025,,march,27.31,,march,30.712,,march,27.664,,march,26.764
apr,32.571,,apr,32.007,,apr,37.527,,apr,32.181,,apr,34.929
may,36.62,,may,38.221,,may,39.518,,may,37.66,,may,33.219
june,32.793,,june,37.527,,june,38.097,,june,42.341,,june,31.879
july,33.485,,july,32.955,,july,31.656,,july,35.627,,july,33.987
aug,34.206,,aug,30.898,,aug,32.103,,aug,29.803,,aug,30.368
sept,30.993,,sept,31.428,,sept,29.821,,sept,29.703,,sept,29.244
oct,31.099,,oct,30.1,,oct,29.515,,oct,28.479,,oct,29.522
nov,24.62,,nov,25.401,,nov,25.772,,nov,24.313,,nov,25.174
dec,20.085,,dec,19.133,,dec,19.849,,dec,20.013,,dec,21.148
